Date District Total Confirmed Asymptomatic
2022-05-03 闵行区 252 15 237
2022-05-03 嘉定区 175 4 171
2022-05-03 金山区 4 0 4
2022-05-03 松江区 90 34 56
2022-05-03 青浦区 43 2 41
2022-05-03 奉贤区 6 0 6
2022-05-03 崇明区 99 0 99
2022-05-04 浦东新区 889 50 839
2022-05-04 黄浦区 775 21 754
2022-05-04 静安区 545 20 525
2022-05-04 徐汇区 330 13 317
2022-05-04 长宁区 121 5 116
2022-05-04 普陀区 91 3 88
2022-05-04 虹口区 326 16 310
2022-05-04 杨浦区 393 24 369
2022-05-04 宝山区 459 19 440
2022-05-04 闵行区 285 25 260
2022-05-04 嘉定区 215 4 211
2022-05-04 金山区 3 1 2
2022-05-04 松江区 92 55 37
2022-05-04 青浦区 70 4 66
2022-05-04 奉贤区 1 0 1
2022-05-04 崇明区 56 1 55
2022-05-05 浦东新区 677 28 649
2022-05-05 黄浦区 772 35 737
2022-05-05 静安区 515 30 485
2022-05-05 徐汇区 323 9 314
2022-05-05 长宁区 87 1 86
2022-05-05 普陀区 79 1 78
2022-05-05 虹口区 267 15 252
2022-05-05 杨浦区 411 47 364
2022-05-05 宝山区 500 19 481
2022-05-05 闵行区 235 9 226
2022-05-05 嘉定区 201 9 192
2022-05-05 金山区 2 1 1
2022-05-05 松江区 83 38 45
2022-05-05 青浦区 56 0 56
2022-05-05 奉贤区 11 0 11
2022-05-05 崇明区 50 3 47
2022-05-06 浦东新区 584 33 551
2022-05-06 黄浦区 627 60 567
2022-05-06 静安区 484 16 468
2022-05-06 徐汇区 330 19 311
2022-05-06 长宁区 71 7 64
2022-05-06 普陀区 77 5 72
2022-05-06 虹口区 279 17 262
2022-05-06 杨浦区 425 30 395
2022-05-06 宝山区 502 21 481
2022-05-06 闵行区 309 28 281
2022-05-06 嘉定区 201 3 198
2022-05-06 金山区 8 3 5
2022-05-06 松江区 27 5 22
2022-05-06 青浦区 169 3 166
2022-05-06 奉贤区 21 2 19
2022-05-06 崇明区 100 1 99
2022-05-07 浦东新区 675 28 647
2022-05-07 黄浦区 612 37 575
2022-05-07 静安区 548 19 529
2022-05-07 徐汇区 299 10 289
2022-05-07 长宁区 65 3 62
2022-05-07 普陀区 56 5 51
2022-05-07 虹口区 272 24 248
2022-05-07 杨浦区 613 7 606
2022-05-07 宝山区 345 33 312
2022-05-07 闵行区 227 13 214
2022-05-07 嘉定区 119 11 108
2022-05-07 金山区 0 0 0
2022-05-07 松江区 48 22 26
2022-05-07 青浦区 34 3 31
2022-05-07 奉贤区 11 0 11
2022-05-07 崇明区 51 0 51
2022-05-08 浦东新区 692 34 658
2022-05-08 黄浦区 502 60 442
2022-05-08 静安区 620 38 582
2022-05-08 徐汇区 306 22 284
2022-05-08 长宁区 77 7 70
2022-05-08 普陀区 49 5 44
2022-05-08 虹口区 317 54 263
2022-05-08 杨浦区 576 18 558
2022-05-08 宝山区 332 25 307
2022-05-08 闵行区 225 9 216
2022-05-08 嘉定区 136 27 109
2022-05-08 金山区 4 2 2
2022-05-08 松江区 40 13 27
2022-05-08 青浦区 49 1 48
2022-05-08 奉贤区 6 4 2
2022-05-08 崇明区 16 3 13
2022-05-09 浦东新区 588 20 568
2022-05-09 黄浦区 414 36 378
2022-05-09 静安区 393 22 371
2022-05-09 徐汇区 128 21 107
2022-05-09 长宁区 53 1 52
2022-05-09 普陀区 50 7 43
2022-05-09 虹口区 269 31 238
2022-05-09 杨浦区 383 28 355
2022-05-09 宝山区 162 25 137
2022-05-09 闵行区 328 13 315
2022-05-09 嘉定区 148 17 131
2022-05-09 金山区 1 0 1
2022-05-09 松江区 26 7 19
2022-05-09 青浦区 56 2 54
2022-05-09 奉贤区 6 1 5
2022-05-09 崇明区 9 3 6
2022-05-10 浦东新区 263 16 247
2022-05-10 黄浦区 264 19 245
2022-05-10 静安区 219 28 191
2022-05-10 徐汇区 83 23 60
2022-05-10 长宁区 16 2 14
2022-05-10 普陀区 30 5 25
2022-05-10 虹口区 136 48 88
2022-05-10 杨浦区 167 32 135
2022-05-10 宝山区 142 11 131
2022-05-10 闵行区 79 7 72
2022-05-10 嘉定区 34 20 14
2022-05-10 金山区 0 0 0
2022-05-10 松江区 19 6 13
2022-05-10 青浦区 27 11 16
2022-05-10 奉贤区 0 0 0
2022-05-10 崇明区 8 0 8
2022-05-11 浦东新区 250 10 240
2022-05-11 黄浦区 246 19 227
2022-05-11 静安区 170 12 158
2022-05-11 徐汇区 74 9 65
2022-05-11 长宁区 40 1 39
2022-05-11 普陀区 29 2 27
2022-05-11 虹口区 102 18 84
2022-05-11 杨浦区 165 34 131
2022-05-11 宝山区 129 11 118
2022-05-11 闵行区 91 3 88
2022-05-11 嘉定区 90 18 72
2022-05-11 金山区 3 0 3
2022-05-11 松江区 14 4 10
2022-05-11 青浦区 37 3 34
2022-05-11 奉贤区 5 0 5
2022-05-11 崇明区 4 0 4
2022-05-12 浦东新区 280 17 263
2022-05-12 黄浦区 297 23 274
2022-05-12 静安区 207 35 172
2022-05-12 徐汇区 93 5 88
2022-05-12 长宁区 59 0 59
2022-05-12 普陀区 29 2 27
2022-05-12 虹口区 103 24 79
2022-05-12 杨浦区 549 34 515
2022-05-12 宝山区 174 19 155
2022-05-12 闵行区 143 15 128
2022-05-12 嘉定区 109 42 67
2022-05-12 金山区 1 0 1
2022-05-12 松江区 22 7 15
2022-05-12 青浦区 20 1 19
2022-05-12 奉贤区 1 0 1
2022-05-12 崇明区 9 3 6
2022-05-13 浦东新区 187 15 172
2022-05-13 黄浦区 243 24 219
2022-05-13 静安区 184 34 150
2022-05-13 徐汇区 105 23 82
2022-05-13 长宁区 37 0 37
2022-05-13 普陀区 28 4 24
2022-05-13 虹口区 91 17 74
2022-05-13 杨浦区 415 18 397
2022-05-13 宝山区 154 9 145
2022-05-13 闵行区 129 12 117
2022-05-13 嘉定区 63 26 37
2022-05-13 金山区 7 0 7
2022-05-13 松江区 11 3 8
2022-05-13 青浦区 24 9 15
2022-05-13 奉贤区 0 0 0
2022-05-13 崇明区 3 0 3
